Poolu Poachers
Adah Sharma | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Harshika Poonacha | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Shruthi Ramachandran | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Darshana Rajendran | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Disha Patani | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Pranavi Manukonda | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Regina Cassandra | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Okkali Outriders
Abyukta Manikandan | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Bhavani Sre | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast
Meera Mithun | Opening Batter | Batting: Left Hand Bowling: Left Arm Fast
Sreethu Krishnan | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Pooja Jhaveri | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium
Sija Rose | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast
Grace Antony | Middle Order Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Nazriya Nazim | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Smruthi Venkat | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Madonna Sebastian | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Tanya Ravichandran | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Nivisha Kingkon | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Fast-Medium
Piaa Bajpiee | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Priya Krishnan | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Jannat Zubair | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Sridevi Ashok | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Abeneya Nethran | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Dushara Vijayan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Rithika Tamilselvan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Pujita Ponnada | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast
Varalaxmi Sarathkumar | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Pooja Ramachandran | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast-Medium
Saniya Iyappan | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Sonakshi Sinha | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Sundari Divyaa | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Kundi Klappers
Kamalinee Mukherji | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Nikhila Vimal | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Radhika Preeti | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Anjali Nair | Top Order Batter | Batting: Left Hand Bowling: Left Arm Fast
Meenakshi Anoop | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium
Payal Rajput | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Anasuya Bharadwaj | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Jyotika Saravanan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Malavika Mohanan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Athmiya Rajan | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Fouzil Hidhayah | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Anu Emmanuel | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Fast-Medium
Digangana Suryavanshi | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Fast-Medium
Hansika Motwani | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Megha Shetty | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Reshma Pasupuleti | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Divya Spandana | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Lavanya Tripathi | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Neelima Rani | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Farnaz Shetty | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Sunaina Yella | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Aishwarya Rajesh | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Bhumika Chawla | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Mamitha Baiju | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Tanya Hope | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium


Sunni Suckers
Kavya Thapar | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Ketika Sharma | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Nainita Maria | Opening Batter | Batting: Right Hand Bowling: Left Arm Medium
Priyamani | Opening Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Janhvi Kapoor | Top Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Pavithra Janani | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Megha Akash | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Sonia Deepthi | Middle Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Sruthi Raj | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Ann Augustine | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Neha Shetty | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Ruhani Sharma | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Pranitha Subhash | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Anandhi | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Laxmi Raai | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Rashmi Gautam | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Dhivyadharshini | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Lovelyn Chandrasekhar | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Mehreen Pirzada | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Anuya Bhagwat | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Saranya Turadi | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Gayathri Yuvaraaj | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast
Kousalya | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Priya Prakash Varrier | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Shraddha Das | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Punda Prowlers
Aditi Prabhudeva | Opening Batter | Batting: Left Hand Bowling: Left Arm Fast
Archana Chandhoke | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Nikesha Patel | Opening Batter | Batting: Right Hand Bowling: Right Arm Legspin
Rashi Singh | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Kavipriya Jayavel | Top Order Batter | Batting: Right Hand Bowling: Left Arm Fast
Taapsee Pannu | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Kanmani Manoharan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Rachitha Mahalakshmi | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast
Sandhya | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Rithu Chowdary | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Swasika Vijay | Middle Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Kushita Kallapu | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast-Medium
Riya Shibu | Pace All Rounder | Batting: Left Hand Bowling: Right Arm Fast-Medium
Aishwarya Dutta | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Chandini Chowdary | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Samyuktha Viswanathan | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Aditi Balan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Akshara Gowda | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Madhuri Braganza | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Aksha Pardasany | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Meera Jasmine | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Dimple Hayathi | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Ineya | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Kushee Ravi | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Varshini Venkat | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium


Myru Masters
Ashna Zaveri | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Meenakshi Dinesh | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Sindhu Menon | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Amrutha Srinivasan | Top Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Bhavana Menon | Top Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Poornima Ravi | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Asha Gowda | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Ramya Pandian | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Shabana Shajahan Aryan | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Roshni Haripriyan | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Srinidhi Shetty | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Vaibhavi Shandilya | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Meghana Raj | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Rajisha Vijayan | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Srushti Dange | Spin All Rounder | Batting: Left Hand Bowling: Right Arm Offspin
Vani Bhojan | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Jovika Vijaykumar | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Milana Nagaraj | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Navya Nair | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Aruljothi Arockiaraj | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Ragini Dwivedi | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Sruthy Jayan | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Kasthuri Shankar | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Mirna Menon | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Priya Anand | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast


Lanja Lionesses
Ivana | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Surekha Vani | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Trisha Krishnan | Opening Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Anaika Soti | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Anikha Surendran | Top Order Batter | Batting: Right Hand Bowling: Left Arm Fast
Eesha Rebba | Top Order Batter | Batting: Right Hand Bowling: Left Arm Medium
Oviya Helen | Top Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Madhu Shalini | Middle Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Niharika Konidela | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Athira Patel | Opening Keeper-Batter | Batting: Left Hand Bowling: N/A
Farina Azad | Opening Keeper-Batter | Batting: Left Hand Bowling: N/A
Mounika Devi | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Aishwarya Lekshmi | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Janani Iyer | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Chandhini Prakash | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Kavya Kalyanram | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Nimisha Sajayan | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Shamna Kasim | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Vidisha Srivastava | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Aindrita Ray | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Deepthi Sunaina | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Lekha Washington | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Manasa Varanssi | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast
Namitha Pramod | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Pattathil Nanditha Menon | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Soole Strikers
Kaavya Arivumani | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Misha Ghoshal | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Shriya Saran | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Ammu Abhirami | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Rabiya Khatoon | Top Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Teju Ashwini | Top Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Hebah Patel | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Maheshwari Chanakyan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Meenakshi Chaudhary | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Brigida Saga | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Meenakshi Govindarajan | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Hima Bindu | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Misha Narang | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast-Medium
Aditi Rao Hydari | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Nithya Ram | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Sakshi Vaidya | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Chitra Shukla | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Losliya Mariyanesan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Parvathy Thiruvothu | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Sravanthi Chokarapu | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Tridha Choudhury | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Vishnupirya Bhimeneni | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Himaja Mallireddy | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Riya Suman | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Viyana | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Randi Ryders
Radhika Apte | Opening Batter | Batting: Right Hand Bowling: Right Arm Legspin
Swathi Reddy | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Vaishnavi Arulmozhi | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Aathmika | Top Order Batter | Batting: Left Hand Bowling: Right Arm Fast
Mamtha Mohandas | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Vishnupriya Pillai | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Maya Sundarakrishnan | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Pratibha | Middle Order Batter | Batting: Left Hand Bowling: Right Arm Fast
Zayn Marie Khan | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast
Nandhini | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Shreema Upadhyay | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Amyra Dastur | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Avika Gor | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Gayathri Arun | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Riya Thiyagarajan | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Thapaswini Poonacha | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Aparna Balamurali | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Manimegalai | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Sachana Namidass | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Gopika Suresh | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Keerthy Suresh | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Nyla Usha | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Jacquline Lydia | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Mishti Chakraborty | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast
Priya Bhavani Shankar | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium


Thevidiya Thunders
Anna Rajan | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Divi Vadthya | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Divya Duraisamy | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Nidhhi Agerwal | Opening Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Ishani Krishna | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Srinda | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Bhavana Balakrishnan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Krithika Annamalai | Middle Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Rukmini Vasanth | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Avantika Mishra | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Nandini Rai | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Pragya Jaiswal | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast
Sarah-Jane Dias | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Shruthi Ramakrishna | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Medium-Fast
Aishwarya Devan | Spin All Rounder | Batting: Left Hand Bowling: Right Arm Legspin
Padmapriya Janakiraman | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Ayesha Khan | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Nivetha Thomas | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Payal Radhakrishna | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Angel Mariya | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast
Komalee Prasad | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Mamta Mohandas | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast-Medium
Athulya Ravi | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Malvika Sharma | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Shivani Rajashekar | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Modda Munchers
Ahaana Krishna | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Anitha Sampath | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Anna Ben | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Monisha Blessy | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Esther Anil | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Leona Lishoy | Top Order Batter | Batting: Left Hand Bowling: Left Arm Fast
Raiza Wilson | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Sanjana Anand | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Sreemukhi Rathod | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium
Suja Varunee | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Niranjana Anoop | Opening Keeper-Batter | Batting: Left Hand Bowling: N/A
Sadha | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Shrutika Arjun | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Vasundhara Kashyap | Pace All Rounder | Batting: Left Hand Bowling: Right Arm Fast-Medium
Kajal Aggarwal | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Sana Althaf | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Nanditha Jennifer | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Preetha Suresh | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Anu Sithara | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Nayan Sarika | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Sai Pallavi | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Vedhika Kumar | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Hansika Krishna | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast-Medium
Shanvi Srivastava | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Srithika | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Denge Dashers
Nayani Pavani | Opening Batter | Batting: Left Hand Bowling: Right Arm Fast
Satna Titus | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Yami Gautam | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast
Deepa Balu | Top Order Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Nakshatra Nagesh | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Sneha Prasanna | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Ananya Gopalakrishnan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Lijomol Jose | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Saanve Megghana | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Priyanka Jain | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Ramya Subramanian | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Renu Soundar | Middle Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Dhanya Balakrishna | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Huma Qureshi | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Nayanthara Chakravarthy | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Samyuktha Hegde | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Riythvika Panneerselvam | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Sanjana Krishnamoorthy | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Abhirami Gopikumar | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
